payload_rate,threshold,index_signal,secret_name,len_secret_data,len_extracted_secret_data,ncc,prd,snr,time
1,0,0,secret_0.99_bps,3564,3105,0.9999925645340758,0.18263711209151268,54.768219372957844,0.01677393913269043
1,0,0,secret_0.66_bps,2376,2376,0.9999944976846443,0.15670732402760987,56.09821410886113,0.012583494186401367
1,0,0,secret_0.51_bps,1836,1836,0.9999955131266136,0.1413055376514057,56.99681636326618,0.009599447250366211
1,0,0,secret_0.48_bps,1728,1728,0.9999957418505836,0.13766615713343433,57.223456209625624,0.008913993835449219
1,0,0,secret_0.39_bps,1404,1404,0.9999966580368227,0.12176772542913106,58.28935612658028,0.007265329360961914
1,0,0,secret_0.32_bps,1152,1152,0.9999973373619178,0.10854274044351403,59.287984354509575,0.005930662155151367
1,0,0,secret_0.21_bps,756,756,0.99999819582875,0.08941679198920083,60.97161830787462,0.0037412643432617188
1,0,0,secret_0.15_bps,540,540,0.9999986607025568,0.07695772138788168,62.27495599282467,0.0026617050170898438
1,0,0,secret_0.08_bps,288,288,0.9999993543770243,0.05343675397019763,65.4431986212968,0.0014338493347167969
1,0,1,secret_0.99_bps,3564,3178,0.9999944269299779,0.18044263906148897,54.87321659519075,0.0157773494720459
1,0,1,secret_0.66_bps,2376,2376,0.9999959608975706,0.1534201876632571,56.28234980723163,0.011928319931030273
1,0,1,secret_0.51_bps,1836,1836,0.9999967056294905,0.13834147343691805,57.18095206163668,0.008987903594970703
1,0,1,secret_0.48_bps,1728,1728,0.9999968725493694,0.13477843357576394,57.407591907996114,0.00850820541381836
1,0,1,secret_0.39_bps,1404,1404,0.9999975492626585,0.11921349179170326,58.473491824950784,0.006986141204833984
1,0,1,secret_0.32_bps,1152,1152,0.9999980533932025,0.10626591776523567,59.47212005288008,0.005815267562866211
1,0,1,secret_0.21_bps,756,756,0.9999986774169326,0.08754116051916384,61.15575400624511,0.0038268566131591797
1,0,1,secret_0.15_bps,540,540,0.9999990209502849,0.07534343484408706,62.45909169119518,0.0027587413787841797
1,0,1,secret_0.08_bps,288,288,0.9999995272785516,0.052315849773419555,65.62733431966731,0.001531362533569336
1,0,2,secret_0.99_bps,3564,3104,0.9999977384445964,0.16985837815633242,55.3982605393378,0.015547990798950195
