model_name,payload_rate,threshold,index_signal,secret_name,len_secret_data,len_extracted_secret_data,ncc,prd,snr,time
SVR 2.0,1,0,0,secret_0.99_bps,3564,3053,0.9999928145119888,0.17830054677491952,54.976946500377785,3.904348373413086
SVR 2.0,1,0,0,secret_0.66_bps,2376,2376,0.9999943708509879,0.15778343846630244,56.03877167781252,3.0679142475128174
SVR 2.0,1,0,0,secret_0.51_bps,1836,1836,0.9999957034820196,0.13804973591290715,57.19928839645624,2.3872199058532715
SVR 2.0,1,0,0,secret_0.48_bps,1728,1728,0.9999958643932497,0.1352636923654103,57.37637523159872,2.2209300994873047
SVR 2.0,1,0,0,secret_0.39_bps,1404,1404,0.9999964672256396,0.12502457988642748,58.06009192229861,1.8216190338134766
SVR 2.0,1,0,0,secret_0.32_bps,1152,1152,0.9999973281025222,0.10883465331607228,59.26465603618486,1.4454643726348877
SVR 2.0,1,0,0,secret_0.21_bps,756,756,0.9999981858431075,0.08953499004739547,60.96014420656615,0.928849458694458
SVR 2.0,1,0,0,secret_0.15_bps,540,540,0.9999987680104003,0.07387254098768035,62.63033924661457,0.6627485752105713
SVR 2.0,1,0,0,secret_0.08_bps,288,288,0.9999992907367362,0.05595050907529776,65.04391915229729,0.3519256114959717
SVR 2.0,1,0,1,secret_0.99_bps,3564,3058,0.9999946888356332,0.1757757190827512,55.10082233458156,3.819688081741333
SVR 2.0,1,0,1,secret_0.66_bps,2376,2376,0.9999958778270508,0.15493240090601434,56.19715498074836,2.944171190261841
SVR 2.0,1,0,1,secret_0.51_bps,1836,1836,0.9999967623005409,0.13709015480431003,57.2598746631724,2.266360282897949
SVR 2.0,1,0,1,secret_0.48_bps,1728,1728,0.9999969630890881,0.13273219854139995,57.540474240130706,2.118821859359741
SVR 2.0,1,0,1,secret_0.39_bps,1404,1404,0.9999975389748514,0.1195531320576779,58.44878083470338,1.7082667350769043
SVR 2.0,1,0,1,secret_0.32_bps,1152,1152,0.9999979637735374,0.10871780542341403,59.27398645702723,1.4207632541656494
SVR 2.0,1,0,1,secret_0.21_bps,756,756,0.9999986308934831,0.08914755433407733,60.997811334412795,0.9365334510803223
SVR 2.0,1,0,1,secret_0.15_bps,540,540,0.9999990806988214,0.07315910152253714,62.714632735919054,0.6815760135650635
SVR 2.0,1,0,1,secret_0.08_bps,288,288,0.9999995170599186,0.05289394301087373,65.53188114060501,0.37215685844421387
SVR 2.0,1,0,2,secret_0.99_bps,3564,3053,0.999997705096174,0.16980448052586042,55.401017089616964,3.811476230621338
SVR 2.0,1,0,2,secret_0.66_bps,2376,2376,0.9999982733483576,0.14716388312241235,56.64397522459385,2.9117653369903564
SVR 2.0,1,0,2,secret_0.51_bps,1836,1836,0.9999986657744253,0.12928384361643985,57.769114895530166,2.2742185592651367
SVR 2.0,1,0,2,secret_0.48_bps,1728,1728,0.9999987524690997,0.1251831134595546,58.04908502410163,2.1532742977142334
SVR 2.0,1,0,2,secret_0.39_bps,1404,1404,0.9999989832118322,0.11287908653358329,58.94773027476754,1.7667431831359863
SVR 2.0,1,0,2,secret_0.32_bps,1152,1152,0.9999991698713718,0.10206221742095002,59.82270000692245,1.4563095569610596
SVR 2.0,1,0,2,secret_0.21_bps,756,756,0.9999994457494845,0.08340664740943853,61.57598670470506,0.9374942779541016
SVR 2.0,1,0,2,secret_0.15_bps,540,540,0.9999996062149792,0.07030573429974946,63.06018502928328,0.6641960144042969
SVR 2.0,1,0,2,secret_0.08_bps,288,288,0.9999998023678109,0.04971366147965249,66.07048498592309,0.3634803295135498
SVR 2.0,1,0,3,secret_0.99_bps,3564,3125,0.9999975674010949,0.1736144463682533,55.20828280473645,3.8224430084228516
SVR 2.0,1,0,3,secret_0.66_bps,2376,2376,0.9999982289976308,0.14791985311243197,56.59947066224699,2.8631417751312256
SVR 2.0,1,0,3,secret_0.51_bps,1836,1836,0.9999985855274982,0.1322322352641719,57.573253213071204,2.228562116622925
SVR 2.0,1,0,3,secret_0.48_bps,1728,1728,0.9999987032832871,0.1266213487170847,57.949861297373246,2.1133031845092773
SVR 2.0,1,0,3,secret_0.39_bps,1404,1404,0.9999988889346496,0.1171020984708176,58.6287064459258,1.736076831817627
SVR 2.0,1,0,3,secret_0.32_bps,1152,1152,0.9999991162498164,0.10450492409220856,59.61726491724182,1.414565086364746
SVR 2.0,1,0,3,secret_0.21_bps,756,756,0.9999994238063742,0.08443905654343002,61.469132556143926,0.9190926551818848
SVR 2.0,1,0,3,secret_0.15_bps,540,540,0.9999995925196903,0.07096645362339507,62.97893794087042,0.6627447605133057
SVR 2.0,1,0,3,secret_0.08_bps,288,288,0.9999998106931759,0.04836245235250126,66.30983370289383,0.3541605472564697
SVR 2.0,1,0,4,secret_0.99_bps,3564,3236,0.9999984564926173,0.15856794345878816,55.99569212676371,3.789454460144043
SVR 2.0,1,0,4,secret_0.66_bps,2376,2376,0.9999988666602885,0.13593812174244588,57.33317470041678,2.807166814804077
SVR 2.0,1,0,4,secret_0.51_bps,1836,1836,0.9999991088772718,0.12064881022319457,58.3695391304788,2.17244553565979
SVR 2.0,1,0,4,secret_0.48_bps,1728,1728,0.9999991767001514,0.11571441981033512,58.73225035703353,2.0332725048065186
SVR 2.0,1,0,4,secret_0.39_bps,1404,1404,0.9999993067545306,0.10629938780947576,59.469384732437575,1.6564302444458008
SVR 2.0,1,0,4,secret_0.32_bps,1152,1152,0.9999994178252514,0.09737523443113637,60.23102967505996,1.3424184322357178
SVR 2.0,1,0,4,secret_0.21_bps,756,756,0.9999996629599421,0.07404839249158301,62.609687301832594,0.8694674968719482
SVR 2.0,1,0,4,secret_0.15_bps,540,540,0.999999745557648,0.06430469358874613,63.835146536756696,0.6276450157165527
SVR 2.0,1,0,4,secret_0.08_bps,288,288,0.999999871386797,0.04571943900982542,66.7979821431519,0.32864880561828613
SVR 2.0,1,0,5,secret_0.99_bps,3564,3247,0.9999997024227204,0.0725824492056412,62.78336762308164,3.7998385429382324
SVR 2.0,1,0,5,secret_0.66_bps,2376,2376,0.9999997783315939,0.06266747586779965,64.05915595082672,2.773638963699341
SVR 2.0,1,0,5,secret_0.51_bps,1836,1836,0.9999998272645576,0.05533388233189925,65.14017715556867,2.1220836639404297
SVR 2.0,1,0,5,secret_0.48_bps,1728,1728,0.9999998419810303,0.05292357842142127,65.5270159744465,2.0099434852600098
SVR 2.0,1,0,5,secret_0.39_bps,1404,1404,0.9999998680869469,0.04842620648718542,66.2983910098229,1.64267897605896
SVR 2.0,1,0,5,secret_0.32_bps,1152,1152,0.9999998937053552,0.04338990537177011,67.25222594028872,1.350325345993042
SVR 2.0,1,0,5,secret_0.21_bps,756,756,0.9999999253813074,0.03634806289074548,68.79037458373402,0.8875856399536133
SVR 2.0,1,0,5,secret_0.15_bps,540,540,0.999999948035107,0.030356617383149567,70.35493246427765,0.6276612281799316
SVR 2.0,1,0,5,secret_0.08_bps,288,288,0.999999974462781,0.021272158423606996,73.44376882544957,0.34549880027770996
SVR 2.0,1,0,6,secret_0.99_bps,3564,3146,0.9999915873512653,0.1891033998813084,54.466013258486,3.7896928787231445
SVR 2.0,1,0,6,secret_0.66_bps,2376,2376,0.9999938105153037,0.16218106088411935,55.799997260667084,2.883185386657715
SVR 2.0,1,0,6,secret_0.51_bps,1836,1836,0.9999951812000996,0.1430043190697869,56.89301691225833,2.213730812072754
SVR 2.0,1,0,6,secret_0.48_bps,1728,1728,0.9999954828932383,0.13857880007612652,57.166064068967344,2.0832974910736084
SVR 2.0,1,0,6,secret_0.39_bps,1404,1404,0.9999962691603942,0.12587265579863952,58.00137208975088,1.712233304977417
SVR 2.0,1,0,6,secret_0.32_bps,1152,1152,0.9999968562798931,0.11545289034637143,58.75190380222633,1.3968164920806885
SVR 2.0,1,0,6,secret_0.21_bps,756,756,0.9999979656305847,0.09291958500353734,60.63785477017738,0.9082431793212891
SVR 2.0,1,0,6,secret_0.15_bps,540,540,0.9999986151162517,0.07664668251925696,62.31013275742114,0.6487112045288086
SVR 2.0,1,0,6,secret_0.08_bps,288,288,0.9999991813773423,0.05891877353059929,64.59492604257483,0.3430020809173584
SVR 2.0,1,0,7,secret_0.99_bps,3564,3214,0.9999983858255074,0.12202875276869575,58.27075655084323,3.8198869228363037
SVR 2.0,1,0,7,secret_0.66_bps,2376,2376,0.9999988669300226,0.10224312653177434,59.807317570502235,2.7968075275421143
SVR 2.0,1,0,7,secret_0.51_bps,1836,1836,0.9999991223564854,0.0899684646492582,60.91819381761294,2.171159267425537
SVR 2.0,1,0,7,secret_0.48_bps,1728,1728,0.9999991606627388,0.08797968394804384,61.11235204969894,2.0482943058013916
SVR 2.0,1,0,7,secret_0.39_bps,1404,1404,0.9999992995350342,0.08037997721526959,61.8970424250056,1.6625397205352783
SVR 2.0,1,0,7,secret_0.32_bps,1152,1152,0.9999994267607832,0.07273478498126833,62.765156813784024,1.3587403297424316
SVR 2.0,1,0,7,secret_0.21_bps,756,756,0.999999634948654,0.05802228617593208,64.72810326522371,0.9067180156707764
SVR 2.0,1,0,7,secret_0.15_bps,540,540,0.9999997315040619,0.04977247136952286,66.0602158909666,0.6549479961395264
SVR 2.0,1,0,7,secret_0.08_bps,288,288,0.9999998612085415,0.03576987629934476,68.92965123482037,0.35418152809143066
SVR 2.0,1,0,8,secret_0.99_bps,3564,3179,0.999994075677801,0.27408100773929334,51.242421151289214,3.817539930343628
SVR 2.0,1,0,8,secret_0.66_bps,2376,2376,0.9999955356842827,0.2379928484213852,52.46872186204574,2.8670365810394287
SVR 2.0,1,0,8,secret_0.51_bps,1836,1836,0.9999966787319012,0.2051529944043969,53.75844279413972,2.2083334922790527
SVR 2.0,1,0,8,secret_0.48_bps,1728,1728,0.9999968284523075,0.20048334423454017,53.95843403768352,2.083554983139038
SVR 2.0,1,0,8,secret_0.39_bps,1404,1404,0.9999974615178614,0.17944652841342812,54.92129878288961,1.688469648361206
SVR 2.0,1,0,8,secret_0.32_bps,1152,1152,0.999997921833315,0.16199172856414681,55.81014320675951,1.3574178218841553
SVR 2.0,1,0,8,secret_0.21_bps,756,756,0.9999986814532978,0.12914341686882486,57.778554544813126,0.8925538063049316
SVR 2.0,1,0,8,secret_0.15_bps,540,540,0.999998941191238,0.11574911276184818,58.72964658488014,0.629082441329956
SVR 2.0,1,0,8,secret_0.08_bps,288,288,0.999999469437702,0.0818469825502292,61.739946541519956,0.336498498916626
SVR 2.0,1,0,9,secret_0.99_bps,3564,3107,0.9999948477199395,0.07103454427090254,62.97060802905666,3.8273046016693115
SVR 2.0,1,0,9,secret_0.66_bps,2376,2376,0.9999960628132926,0.062091355185688014,64.13937722561425,2.8916854858398438
SVR 2.0,1,0,9,secret_0.51_bps,1836,1836,0.9999968469707773,0.055559945045952824,65.1047638498516,2.2611703872680664
SVR 2.0,1,0,9,secret_0.48_bps,1728,1728,0.9999970928593702,0.05334936825155761,65.45741438008055,2.096951961517334
SVR 2.0,1,0,9,secret_0.39_bps,1404,1404,0.9999976155754567,0.04832151165557747,66.31718976033495,1.737349271774292
SVR 2.0,1,0,9,secret_0.32_bps,1152,1152,0.9999981209818694,0.042898388955492216,67.35118034785687,1.4121241569519043
SVR 2.0,1,0,9,secret_0.21_bps,756,756,0.9999988008259688,0.03426485372101808,69.3030223575039,0.925647497177124
SVR 2.0,1,0,9,secret_0.15_bps,540,540,0.9999991780669761,0.028367351908327385,70.94362407384536,0.6446287631988525
SVR 2.0,1,0,9,secret_0.08_bps,288,288,0.9999995251867069,0.021564204387855543,73.32533121067885,0.3363535404205322
SVR 2.0,1,0,10,secret_0.99_bps,3564,3176,0.9999987682841688,0.1348692285531378,57.40174253272812,3.804558277130127
SVR 2.0,1,0,10,secret_0.66_bps,2376,2376,0.9999990779446953,0.11680017811582691,58.65112989881112,2.869749069213867
SVR 2.0,1,0,10,secret_0.51_bps,1836,1836,0.9999992649417033,0.10441414086406306,59.62481361223961,2.2420904636383057
SVR 2.0,1,0,10,secret_0.48_bps,1728,1728,0.9999993453228535,0.09839710654142918,60.14035344429323,2.02182936668396
SVR 2.0,1,0,10,secret_0.39_bps,1404,1404,0.999999444660011,0.09066369938694019,60.85133128451061,1.6303472518920898
SVR 2.0,1,0,10,secret_0.32_bps,1152,1152,0.9999995400184245,0.08255534244965064,61.66509633504315,1.3355827331542969
SVR 2.0,1,0,10,secret_0.21_bps,756,756,0.9999996835395317,0.06836712964478922,63.303053066500404,0.8593237400054932
SVR 2.0,1,0,10,secret_0.15_bps,540,540,0.9999997870927366,0.056061621302663574,65.02668693186479,0.6179065704345703
SVR 2.0,1,0,10,secret_0.08_bps,288,288,0.999999890104421,0.04028968632578091,67.89612227571854,0.32561802864074707
SVR 2.0,1,0,11,secret_0.99_bps,3564,3120,0.9999974562217573,0.22160348472027844,53.08846829196884,3.6876256465911865
