payload_rate,threshold,index_signal,secret_name,len_secret_data,len_extracted_secret_data,ncc,prd,snr,time
1,0,0,secret_0.99_bps,3564,3105,0.9999925645340758,0.18263711209151268,54.768219372957844,0.01650214195251465
1,0,0,secret_0.66_bps,2376,2376,0.9999944976846443,0.15670732402760987,56.09821410886113,0.012483596801757812
1,0,0,secret_0.51_bps,1836,1836,0.9999955131266136,0.1413055376514057,56.99681636326618,0.00962972640991211
1,0,0,secret_0.48_bps,1728,1728,0.9999957418505836,0.13766615713343433,57.223456209625624,0.009055614471435547
1,0,0,secret_0.39_bps,1404,1404,0.9999966580368227,0.12176772542913106,58.28935612658028,0.007383584976196289
1,0,0,secret_0.32_bps,1152,1152,0.9999973373619178,0.10854274044351403,59.287984354509575,0.006017208099365234
1,0,0,secret_0.21_bps,756,756,0.99999819582875,0.08941679198920083,60.97161830787462,0.003995418548583984
1,0,0,secret_0.15_bps,540,540,0.9999986607025568,0.07695772138788168,62.27495599282467,0.002775907516479492
1,0,0,secret_0.08_bps,288,288,0.9999993543770243,0.05343675397019763,65.4431986212968,0.0014536380767822266
1,0,1,secret_0.99_bps,3564,3178,0.9999944269299779,0.18044263906148897,54.87321659519075,0.016219139099121094
1,0,1,secret_0.66_bps,2376,2376,0.9999959608975706,0.1534201876632571,56.28234980723163,0.01238560676574707
1,0,1,secret_0.51_bps,1836,1836,0.9999967056294905,0.13834147343691805,57.18095206163668,0.009391546249389648
1,0,1,secret_0.48_bps,1728,1728,0.9999968725493694,0.13477843357576394,57.407591907996114,0.008850812911987305
1,0,1,secret_0.39_bps,1404,1404,0.9999975492626585,0.11921349179170326,58.473491824950784,0.00704646110534668
1,0,1,secret_0.32_bps,1152,1152,0.9999980533932025,0.10626591776523567,59.47212005288008,0.0058596134185791016
1,0,1,secret_0.21_bps,756,756,0.9999986774169326,0.08754116051916384,61.15575400624511,0.0038754940032958984
1,0,1,secret_0.15_bps,540,540,0.9999990209502849,0.07534343484408706,62.45909169119518,0.0027992725372314453
1,0,1,secret_0.08_bps,288,288,0.9999995272785516,0.052315849773419555,65.62733431966731,0.0015673637390136719
1,0,2,secret_0.99_bps,3564,3104,0.9999977384445964,0.16985837815633242,55.3982605393378,0.015379905700683594
1,0,2,secret_0.66_bps,2376,2376,0.9999983264659562,0.14578907361093957,56.72550047348742,0.011296749114990234
1,0,2,secret_0.51_bps,1836,1836,0.99999862912891,0.13146037403245156,57.62410272789247,0.009165048599243164
1,0,2,secret_0.48_bps,1728,1728,0.9999987021136179,0.12807455963274128,57.85074257425191,0.00890040397644043
1,0,2,secret_0.39_bps,1404,1404,0.999998982835597,0.11328381743597711,58.916642491206574,0.0074002742767333984
1,0,2,secret_0.32_bps,1152,1152,0.9999991949412403,0.10098025522830396,59.915270719135876,0.0060427188873291016
1,0,2,secret_0.21_bps,756,756,0.9999994504404297,0.0831868666653442,61.59890467250091,0.0039632320404052734
1,0,2,secret_0.15_bps,540,540,0.9999995909482337,0.07159585538179,62.902242357450966,0.0027832984924316406
1,0,2,secret_0.08_bps,288,288,0.9999998025494921,0.04971366147965249,66.07048498592309,0.0014955997467041016
1,0,3,secret_0.99_bps,3564,3178,0.9999975832978715,0.1740484831615108,55.186595145089555,0.015386581420898438
1,0,3,secret_0.66_bps,2376,2376,0.9999982368321609,0.14798359793465932,56.59572835713043,0.01165771484375
1,0,3,secret_0.51_bps,1836,1836,0.9999985671484364,0.13343921223530203,57.49433061153549,0.008973121643066406
1,0,3,secret_0.48_bps,1728,1728,0.9999986369794418,0.13000243206791295,57.72097045789493,0.008388757705688477
1,0,3,secret_0.39_bps,1404,1404,0.9999989309627727,0.1149890487450841,58.78687037484959,0.00702214241027832
1,0,3,secret_0.32_bps,1152,1152,0.9999991514514792,0.10250028427317823,59.78549860277889,0.005964040756225586
1,0,3,secret_0.21_bps,756,756,0.9999994236654741,0.08443905654343002,61.469132556143926,0.0038754940032958984
1,0,3,secret_0.15_bps,540,540,0.9999995733590782,0.07267356883603797,62.772470241093984,0.0027360916137695312
1,0,3,secret_0.08_bps,288,288,0.9999997939423386,0.05046198806295605,65.94071286956611,0.0014395713806152344
1,0,4,secret_0.99_bps,3564,3293,0.9999984646984831,0.15914004854078842,55.96441027613429,0.015918254852294922
1,0,4,secret_0.66_bps,2376,2376,0.9999989264232777,0.1326103616685238,57.54845080977852,0.011336565017700195
1,0,4,secret_0.51_bps,1836,1836,0.9999991288900111,0.1195769155653287,58.447053064183564,0.008765459060668945
1,0,4,secret_0.48_bps,1728,1728,0.9999991698610351,0.11649716438118796,58.67369291054301,0.008311748504638672
1,0,4,secret_0.39_bps,1404,1404,0.9999993503901676,0.10304344234648251,59.739592827497674,0.006623029708862305
1,0,4,secret_0.32_bps,1152,1152,0.9999994859144717,0.09185206981245546,60.73822105542697,0.005469560623168945
1,0,4,secret_0.21_bps,756,756,0.9999996489382467,0.07566712786722032,62.42185500879201,0.0036134719848632812
1,0,4,secret_0.15_bps,540,540,0.9999997399508888,0.06512389468557588,63.72519269374207,0.002611875534057617
1,0,4,secret_0.08_bps,288,288,0.9999998741966458,0.04521975800653274,66.8934353222142,0.001407623291015625
1,0,5,secret_0.99_bps,3564,3214,0.999999699504579,0.07332945807076462,62.69443049148181,0.015573263168334961
1,0,5,secret_0.66_bps,2376,2376,0.9999997850082857,0.06192519531117832,64.16265229962791,0.01209878921508789
1,0,5,secret_0.51_bps,1836,1836,0.9999998250976342,0.055838953743302076,65.06125455403294,0.009010076522827148
1,0,5,secret_0.48_bps,1728,1728,0.9999998341981107,0.05440079920403264,65.28789440039239,0.008527755737304688
1,0,5,secret_0.39_bps,1404,1404,0.9999998696759359,0.04811830095744813,66.35379431734705,0.006916999816894531
1,0,5,secret_0.32_bps,1152,1152,0.9999998965710196,0.04289225435558386,67.35242254527635,0.005719184875488281
1,0,5,secret_0.21_bps,756,756,0.9999999295384596,0.0353343555726514,69.03605649864139,0.0037779808044433594
1,0,5,secret_0.15_bps,540,540,0.9999999478078839,0.030410971262633358,70.33939418359145,0.002746105194091797
1,0,5,secret_0.08_bps,288,288,0.9999999748242094,0.02111631633641356,73.50763681206358,0.0015251636505126953
1,0,6,secret_0.99_bps,3564,3238,0.9999914832193739,0.19109340070668,54.37508621558851,0.01581287384033203
1,0,6,secret_0.66_bps,2376,2376,0.9999939532962913,0.16073390967285198,55.8778498287337,0.011697530746459961
1,0,6,secret_0.51_bps,1836,1836,0.9999950713359688,0.1449363752847515,56.77645208313876,0.009043455123901367
1,0,6,secret_0.48_bps,1728,1728,0.9999953158070273,0.14120348109444755,57.00309192949818,0.00859975814819336
1,0,6,secret_0.39_bps,1404,1404,0.9999963360608172,0.12489654010521051,58.06899184645285,0.006861209869384766
1,0,6,secret_0.32_bps,1152,1152,0.9999970870830277,0.11133173989377643,59.06762007438215,0.005692720413208008
1,0,6,secret_0.21_bps,756,756,0.999998018832397,0.09171435129794048,60.751254027747194,0.0037915706634521484
1,0,6,secret_0.15_bps,540,540,0.9999985322963443,0.07893514559669779,62.054591712697245,0.0026640892028808594
1,0,6,secret_0.08_bps,288,288,0.9999992917387255,0.054809808278921714,65.22283434116937,0.0014061927795410156
1,0,7,secret_0.99_bps,3564,3222,0.9999984183554618,0.12165637242908699,58.29730275097141,0.015555143356323242
1,0,7,secret_0.66_bps,2376,2376,0.9999988691097449,0.10264173672392383,59.77352016398843,0.011374950408935547
1,0,7,secret_0.51_bps,1836,1836,0.999999075805963,0.09255372002072278,60.672122418393485,0.009373188018798828
1,0,7,secret_0.48_bps,1728,1728,0.9999991251666797,0.09016996202292826,60.89876226475291,0.010137557983398438
1,0,7,secret_0.39_bps,1404,1404,0.9999993155498915,0.07975664757548821,61.96466218170758,0.007100343704223633
1,0,7,secret_0.32_bps,1152,1152,0.9999994544741876,0.07109441410621918,62.963290409636876,0.005796909332275391
1,0,7,secret_0.21_bps,756,756,0.9999996296942475,0.05856710832760045,64.64692436300192,0.004019260406494141
1,0,7,secret_0.15_bps,540,540,0.9999997252144575,0.050406541152960505,65.95026204795198,0.002808809280395508
1,0,7,secret_0.08_bps,288,288,0.999999867314507,0.03500054171956734,69.11850467642411,0.001528024673461914
1,0,8,secret_0.99_bps,3564,3272,0.9999940128236426,0.2770985042628634,51.14731636938878,0.0162811279296875
1,0,8,secret_0.66_bps,2376,2376,0.9999957913748001,0.2315979877457473,52.705304366483965,0.012025594711303711
1,0,8,secret_0.51_bps,1836,1836,0.9999965961030686,0.20883566470467305,53.60390662088902,0.009256839752197266
1,0,8,secret_0.48_bps,1728,1728,0.9999967407482072,0.20345701881282732,53.830546467248446,0.008562803268432617
1,0,8,secret_0.39_bps,1404,1404,0.9999974564078469,0.1799607029011275,54.89644638420312,0.006949424743652344
1,0,8,secret_0.32_bps,1152,1152,0.9999979685074654,0.16041547787962832,55.89507461213241,0.005681276321411133
1,0,8,secret_0.21_bps,756,756,0.9999986227486031,0.13214921015261769,57.57870856549744,0.0036423206329345703
1,0,8,secret_0.15_bps,540,540,0.9999989792655595,0.11373593114123387,58.88204625044751,0.002714395523071289
1,0,8,secret_0.08_bps,288,288,0.999999506696644,0.07897425833767588,62.05028887891964,0.0013802051544189453
1,0,9,secret_0.99_bps,3564,2968,0.99999502670716,0.07026430959427454,63.06530433380213,0.015455484390258789
1,0,9,secret_0.66_bps,2376,2376,0.9999961237140883,0.061878530719987335,64.16920013984691,0.012754201889038086
1,0,9,secret_0.51_bps,1836,1836,0.9999968407122408,0.05579687552399458,65.06780239425196,0.00989389419555664
1,0,9,secret_0.48_bps,1728,1728,0.9999969984687358,0.05435980472605704,65.2944422406114,0.009099006652832031
1,0,9,secret_0.39_bps,1404,1404,0.9999976483954083,0.048082040743302655,66.36034215756607,0.00744175910949707
1,0,9,secret_0.32_bps,1152,1152,0.9999981330067288,0.042859932301455406,67.35897038549537,0.006175518035888672
1,0,9,secret_0.21_bps,756,756,0.9999987291876182,0.035307728878145095,69.0426043388604,0.004021644592285156
1,0,9,secret_0.15_bps,540,540,0.9999990579089993,0.03038805465276947,70.34594202381045,0.0028769969940185547
1,0,9,secret_0.08_bps,288,288,0.9999995461271775,0.021100403842890584,73.5141846522826,0.0015521049499511719
1,0,10,secret_0.99_bps,3564,3272,0.9999987150156177,0.13832473268666226,57.18200320779143,0.016006946563720703
1,0,10,secret_0.66_bps,2376,2376,0.9999991033749012,0.11561134128428706,58.739991204886614,0.011789321899414062
1,0,10,secret_0.51_bps,1836,1836,0.9999992677875172,0.104248622967348,59.638593459291656,0.00937342643737793
1,0,10,secret_0.48_bps,1728,1728,0.9999993051319316,0.10156365807666785,59.865233305651095,0.00898289680480957
1,0,10,secret_0.39_bps,1404,1404,0.9999994551014277,0.0898345380431505,60.931133222605766,0.0071446895599365234
1,0,10,secret_0.32_bps,1152,1152,0.9999995677045216,0.08007776207789721,61.92976145053506,0.005807161331176758
1,0,10,secret_0.21_bps,756,756,0.9999997060690134,0.0659675309967532,63.61339540390009,0.0038084983825683594
1,0,10,secret_0.15_bps,540,540,0.9999997818114235,0.056775810875743724,64.91673308885015,0.0027132034301757812
1,0,10,secret_0.08_bps,288,288,0.9999998949940362,0.03942314016723642,68.0849757173223,0.0014140605926513672
1,0,11,secret_0.99_bps,3564,3238,0.9999972337864291,0.2312460109397081,52.71851500458422,0.01620030403137207
1,0,11,secret_0.66_bps,2376,2376,0.9999980460202058,0.1945073733427524,54.22127861772942,0.011736869812011719
1,0,11,secret_0.51_bps,1836,1836,0.9999984071433352,0.17539045566573397,55.119880872134466,0.009196758270263672
1,0,11,secret_0.48_bps,1728,1728,0.9999984904477462,0.1708732044808393,55.346520718493906,0.008884668350219727
1,0,11,secret_0.39_bps,1404,1404,0.9999988176221892,0.15113984351470902,56.412420635448576,0.0070722103118896484
1,0,11,secret_0.32_bps,1152,1152,0.999999060748622,0.13472480287757524,57.41104886337787,0.0057373046875
1,0,11,secret_0.21_bps,756,756,0.9999993620508351,0.11098540192984487,59.0946828167429,0.00377655029296875
1,0,11,secret_0.15_bps,540,540,0.9999995284522372,0.09552102518809459,60.39802050169296,0.0028836727142333984
1,0,11,secret_0.08_bps,288,288,0.9999997721721183,0.0663264638025136,63.5662631301651,0.0016086101531982422
1,0,12,secret_0.99_bps,3564,3000,0.9999976499063336,0.1144565248109358,58.82718889008786,0.0159454345703125
1,0,12,secret_0.66_bps,2376,2376,0.9999981940582982,0.10022907625757875,59.98012544434267,0.013299703598022461
1,0,12,secret_0.51_bps,1836,1836,0.999998530488752,0.09037818491741698,60.87872769874771,0.009795427322387695
1,0,12,secret_0.48_bps,1728,1728,0.9999986078764358,0.08805045869447523,61.10536754510715,0.009212970733642578
1,0,12,secret_0.39_bps,1404,1404,0.9999989031594155,0.07788191594413277,62.17126746206182,0.007539987564086914
1,0,12,secret_0.32_bps,1152,1152,0.9999991276377193,0.06942329388001532,63.169895689991115,0.006094455718994141
1,0,12,secret_0.21_bps,756,756,0.9999994078371165,0.05719045053321596,64.85352964335615,0.004178524017333984
1,0,12,secret_0.15_bps,540,540,0.9999995621492742,0.049221702772721004,66.15686732830622,0.002984285354614258
1,0,12,secret_0.08_bps,288,288,0.9999997881420924,0.03417783132901157,69.32510995677833,0.0016489028930664062
1,0,13,secret_0.99_bps,3564,3123,0.9999994009651838,0.058028154629954906,64.72722480679343,0.015812397003173828
1,0,13,secret_0.66_bps,2376,2376,0.9999995580315741,0.04966383315669861,66.07919527494539,0.012162446975708008
1,0,13,secret_0.51_bps,1836,1836,0.9999996394716418,0.04478268446981177,66.97779752935045,0.0094451904296875
1,0,13,secret_0.48_bps,1728,1728,0.9999996589682608,0.04362928855829443,67.20443737570987,0.008783102035522461
1,0,13,secret_0.39_bps,1404,1404,0.9999997323591833,0.03859074256489484,68.27033729266455,0.007614612579345703
1,0,13,secret_0.32_bps,1152,1152,0.999999787396418,0.03439946783092128,69.26896552059384,0.005839109420776367
1,0,13,secret_0.21_bps,756,756,0.9999998555000158,0.02833805418039354,70.95259947395888,0.004270076751708984
1,0,13,secret_0.15_bps,540,540,0.9999998929555964,0.024389513756575033,72.25593715890894,0.002740144729614258
1,0,13,secret_0.08_bps,288,288,0.9999999481451908,0.016935226544637236,75.42417978738106,0.0014600753784179688
1,0,14,secret_0.99_bps,3564,3128,0.9999959517560837,0.075772094643261,62.40981413901936,0.01599597930908203
1,0,14,secret_0.66_bps,2376,2376,0.999997034539639,0.06478883248189217,63.7699969225444,0.011896371841430664
1,0,14,secret_0.51_bps,1836,1836,0.9999975768370224,0.05842114186091026,64.66859917694946,0.00920557975769043
1,0,14,secret_0.48_bps,1728,1728,0.9999977078683084,0.056916482036107406,64.89523902330889,0.008923768997192383
1,0,14,secret_0.39_bps,1404,1404,0.9999982088038087,0.050343459142592695,65.96113894026355,0.007435321807861328
1,0,14,secret_0.32_bps,1152,1152,0.9999985756769069,0.04487574190521764,66.95976716819285,0.006013631820678711
1,0,14,secret_0.21_bps,756,756,0.9999990315598969,0.03696833950298225,68.64340112155789,0.004013776779174805
1,0,14,secret_0.15_bps,540,540,0.9999992825859714,0.03181728071822045,69.94673880650795,0.0029113292694091797
1,0,14,secret_0.08_bps,288,288,0.9999996527303819,0.022092808506775603,73.11498143498008,0.0014646053314208984
1,0,15,secret_0.99_bps,3564,3265,0.9999982043282377,0.06373069765775338,63.91302654574737,0.015825271606445312
1,0,15,secret_0.66_bps,2376,2376,0.9999987244545832,0.0533301149124353,65.46054961050419,0.011404037475585938
1,0,15,secret_0.51_bps,1836,1836,0.9999989614100792,0.04808863023776219,66.35915186490922,0.00889444351196289
1,0,15,secret_0.48_bps,1728,1728,0.9999990203226408,0.0468500883735715,66.58579171126867,0.008607864379882812
1,0,15,secret_0.39_bps,1404,1404,0.9999992277069808,0.04143958701392468,67.65169162822333,0.006924629211425781
1,0,15,secret_0.32_bps,1152,1152,0.9999993880654541,0.03693890414300842,68.65031985615263,0.005692958831787109
1,0,15,secret_0.21_bps,756,756,0.9999995805851596,0.03043002502579417,70.33395380951767,0.003647327423095703
1,0,15,secret_0.15_bps,540,540,0.9999996893654003,0.026189995588794607,71.63729149446773,0.0026891231536865234
1,0,15,secret_0.08_bps,288,288,0.9999998499469291,0.018185418246795378,74.80553412293986,0.0014607906341552734
1,0,16,secret_0.99_bps,3564,3100,0.9999990626955582,0.06769008715267988,63.38949853474752,0.0158538818359375
1,0,16,secret_0.66_bps,2376,2376,0.9999993082080861,0.058135152911880685,64.71122361759224,0.011965274810791016
1,0,16,secret_0.51_bps,1836,1836,0.9999994380857643,0.05242141099424705,65.60982587199729,0.009227514266967773
1,0,16,secret_0.48_bps,1728,1728,0.999999464324772,0.051071276632438226,65.83646571835673,0.00864553451538086
1,0,16,secret_0.39_bps,1404,1404,0.9999995822564893,0.04517328964348346,66.9023656353114,0.0070226192474365234
1,0,16,secret_0.32_bps,1152,1152,0.9999996677979663,0.040267095697751144,67.9009938632407,0.006029605865478516
1,0,16,secret_0.21_bps,756,756,0.9999997738624292,0.033171767225545566,69.58462781660573,0.003762483596801758
1,0,16,secret_0.15_bps,540,540,0.9999998314758839,0.02854971156195711,70.88796550155578,0.0027086734771728516
1,0,16,secret_0.08_bps,288,288,0.9999999188847195,0.01982392260507652,74.05620813002793,0.001468658447265625
1,0,17,secret_0.99_bps,3564,2968,0.9999959069566877,0.08111515427851756,61.81796002928743,0.01554107666015625
1,0,17,secret_0.66_bps,2376,2376,0.9999968104568924,0.07143436824274663,62.92185583533222,0.012522220611572266
1,0,17,secret_0.51_bps,1836,1836,0.9999974133075259,0.06441352932267136,63.82045808973727,0.00987386703491211
1,0,17,secret_0.48_bps,1728,1728,0.999997541695085,0.0627545331671985,64.0470979360967,0.009237051010131836
1,0,17,secret_0.39_bps,1404,1404,0.9999980851686368,0.05550730058317925,65.11299785305137,0.007318735122680664
1,0,17,secret_0.32_bps,1152,1152,0.9999984632690766,0.049478747333805195,66.11162608098067,0.005983591079711914
1,0,17,secret_0.21_bps,756,756,0.9999989584264161,0.04076026494407028,67.7952600343457,0.003924131393432617
1,0,17,secret_0.15_bps,540,540,0.9999992269967927,0.03508085051453026,69.09859771929577,0.002860546112060547
1,0,17,secret_0.08_bps,288,288,0.9999996259541677,0.024358917392601275,72.2668403477679,0.0015761852264404297
